date,CapPres,Balanced,ProGrowth,AggressiveGrowth,DividendEquity,OppEquity,Notes,Defined,cons_std_model20,cons_std_model100,cons_std_model1000,cons_std_model500,cons_income100,cons_income200,cons_income1000,balanced_Notes200,balanced_Notes500,balanced_Notes1000,balanced_income100,balanced_income200,balanced_income1000,balanced_std_model1000,balanced_std_model500,balanced_std_model100,balanced_std_model20,moderate_std_model20,moderate_std_model100,moderate_std_model500,moderate_std_model1000,moderate_Notes200,moderate_Notes500,moderate_Notes1000,moderate_agg100,moderate_agg200,moderate_agg1000,agg_income100,agg_income200,agg_income1000,agg_Notes200,agg_Notes500,agg_Notes1000,agg_std_model20,agg_std_model100,agg_std_model500,agg_std_model1000
2020-04-23,-0.00014385279999995504,0.0007983850999999653,0.0008555496000000051,0.0010736734000000858,-0.003560280600000021,0.015128012299999938,-0.017249933471248813,-1.154272e-05,-0.00014385279999995504,-0.00014385279999995504,-0.001854460867124841,-0.00014385279999995504,-0.00014385279999995504,-0.00014385279999995504,-0.001854460867124841,-0.006986285068499499,-0.005459098558499509,-0.0037352594833746267,-0.0028793892071248602,0.00023304236000001315,0.00025950437600000416,0.0003537281659999961,-0.0029997261942497746,-0.0011948943371248967,0.0007983850999999653,0.0008555496000000051,-0.0029654274942497506,-0.002951042214249755,0.0021828556300000027,-0.008447042535624394,-0.0067928114656244255,-0.005068972390499546,-0.00457609532137464,-0.002749913037124907,0.00014060787600000534,-0.004423408661374584,-0.0026122688871248467,-0.0003165127999999462,-0.008088130035624364,-0.006682696145624377,0.0020450208420000372,0.0010736734000000858,-0.002591047974249694,0.0002198198057502764,0.0022620640660000538
2020-04-24,0.005698465040151701,0.0107671022060285,0.012039394201107001,0.012681522186956284,0.008448037082533055,0.011076958633545075,0.007298381303514345,0.00567289156,0.005698465040151701,0.005698465040151701,0.005858456666487966,0.005698465040151701,0.005698465040151701,0.005698465040151701,0.005858456666487966,0.006338431545496759,0.006876280904836096,0.006713731930484661,0.006683328279202372,0.007725919906502421,0.007720805210472081,0.008227668927059761,0.00905963059235031,0.009406502682601724,0.0107671022060285,0.012039394201107001,0.00982300578939741,0.009253159285382239,0.01130905772825528,0.008083655462071848,0.009063727397523081,0.008901178423171646,0.010617090331829204,0.009492604066378908,0.009772865044932676,0.011066579921923702,0.0104498140568428,0.011411476655629315,0.009989951745235315,0.009829495389894194,0.00971761358083265,0.012681522186956284,0.011604894010267897,0.011283981299585655,0.011119339706223906
2020-04-27,0.005247919543797108,0.015471814821808705,0.01823612456110113,0.019997849482075614,0.022274987658001066,0.02464651842562593,0.013186643257081299,0.01474998016,0.005247919543797108,0.005247919543797108,0.006041791915125527,0.005247919543797108,0.005247919543797108,0.005247919543797108,0.006041791915125527,0.008423409029110785,0.010363268917293667,0.010519602607585537,0.011149912349386715,0.009337477655001748,0.011237889778242326,0.012260279306043485,0.012970001453260903,0.013198518609733643,0.015471814821808705,0.01823612456110113,0.01462858729683636,0.014103795342456649,0.017578343445823208,0.012464332654765209,0.015246699399826725,0.015403033090118595,0.01672128016989518,0.017964566799812908,0.016643961488840495,0.017954487614577318,0.020227584129946363,0.02068099093485325,0.016592246369578456,0.01705711326393349,0.0183635686476004,0.019997849482075614,0.018635608237076752,0.019565342025786813,0.01941314251201552
2020-04-28,-0.001115466342551663,-0.0014877080911070983,-0.0019408726995762127,-0.001470044823106642,0.01889471197895176,0.00851133507600621,0.003752482931138612,0.02156763942,-0.001115466342551663,-0.001115466342551663,-0.0006286714151826356,-0.001115466342551663,-0.001115466342551663,-0.001115466342551663,-0.0006286714151826356,0.000831713366924447,0.0017943935087802343,0.0035759091576663734,0.005374382081268392,-0.0012643630419738373,0.0032722581105364954,0.003235033935680952,-0.0003652215369468691,-0.0008892406391714401,-0.0014877080911070983,-0.0019408726995762127,-0.0006371203020283378,-0.0005255736677731715,-0.0008131112863155154,0.001112156705037337,0.002132291736727088,0.003913807385613226,-0.00023286601036176524,0.007189279039141017,0.004926928827894282,9.671350316693434e-05,0.007198110673141245,0.004639382217510879,0.001141219054015985,0.0021393570439272704,0.0087431668640473,-0.001470044823106642,-0.0004255392722575914,0.0015707367075649794,0.004135630015425972
2020-04-29,0.013060621539107364,0.024740557053038126,0.028436299524701614,0.03055122608760774,0.033757178375082075,0.05454338352041632,-0.003540611353012424,0.023730894170000003,0.013060621539107364,0.013060621539107364,0.011400498249895386,0.013060621539107364,0.013060621539107364,0.013060621539107364,0.011400498249895386,0.0064201283822594496,0.010568404580390345,0.01329555513269159,0.0176094653006878,0.01773259574467967,0.0198666502708582,0.021034643822251273,0.016748336269041864,0.019576453109646917,0.024740557053038126,0.028436299524701614,0.01896578175203996,0.01765971959812922,0.02950944012571366,0.008603924589446033,0.013580255496750671,0.016307406049051912,0.0188432262613874,0.025519088741250653,0.026489738540239914,0.020323674855421688,0.02842442325853546,0.03151301177385004,0.013505307367297659,0.01590452311057852,0.030222309063845505,0.03055122608760774,0.02373285859948371,0.02853129008604543,0.031586375447367046
2020-04-30,-0.004303558884309,-0.012182881647438304,-0.01398541009844223,-0.01584389665110575,-0.023571339309006012,-0.010932139704388888,-0.012906770479487628,-0.00179964248,-0.004303558884309,-0.004303558884309,-0.005163880043826863,-0.004303558884309,-0.004303558884309,-0.004303558884309,-0.005163880043826863,-0.007744843522380451,-0.00840770160438844,-0.007296988804439678,-0.010944214171235967,-0.007455287989560721,-0.006954504708698923,-0.007742436985011852,-0.010751794861222307,-0.010679405978017377,-0.012182881647438304,-0.01398541009844223,-0.011833311931824663,-0.011402956043393763,-0.012711897937623574,-0.011025627485431622,-0.012419751869158023,-0.011309039069209261,-0.013661818212755849,-0.01681065359527032,-0.01153866437439684,-0.014962758799620312,-0.018641161097104043,-0.018162129448475825,-0.014375333565296688,-0.013884157870625002,-0.009735019287991763,-0.01584389665110575,-0.015256471416782125,-0.014274120027438752,-0.012543870122212912
2020-05-01,-0.01306515104378736,-0.024381256218469205,-0.028016602506009014,-0.029738738663233732,-0.03269239553693781,-0.04562704762989067,-0.020183780758183167,-0.02828784447,-0.01306515104378736,-0.01306515104378736,-0.01377701401522694,-0.01306515104378736,-0.01306515104378736,-0.01306515104378736,-0.01377701401522694,-0.01591260292954568,-0.019168792588156014,-0.0199791989593377,-0.019665187363172076,-0.017591593113660098,-0.020636131798902627,-0.02176774231637081,-0.021278540091475628,-0.021698287637504234,-0.024381256218469205,-0.028016602506009014,-0.023459747863999514,-0.022153232759620778,-0.028282501872175018,-0.020362328766540677,-0.024407097629468334,-0.025217504000650016,-0.02566675598166126,-0.027285964399828045,-0.027043285055677928,-0.026872251291718562,-0.029964705622210312,-0.030624835725344954,-0.02496125971070845,-0.026550090607374146,-0.030747211882605936,-0.029738738663233732,-0.02782774708222362,-0.03100540887555501,-0.03103739072125268
2020-05-04,0.003699021295554328,0.004700965932388668,0.00515872232575898,0.005299060314587045,0.0008952521635907651,0.005988805982263035,-0.008581421620099339,-0.00032940205,0.003699021295554328,0.003699021295554328,0.002470977003988961,0.003699021295554328,0.003699021295554328,0.003699021295554328,0.002470977003988961,-0.0012131558707071388,-0.0009841774020362681,-0.00015897544502633393,0.0016298462643998925,0.0040997991502880644,0.0032941144811771987,0.003394308944860632,0.0018440994945241984,0.003172338249772999,0.004700965932388668,0.00515872232575898,0.0021187533305463855,0.0017488512009909529,0.0050957605883889204,-0.0020762749047213425,-0.0018114438388678986,-0.0009862418818579648,0.0010366791420014843,0.001850441669620706,0.003488780331369897,0.0011349157341811302,0.002149488860719895,0.0039779178692881615,-0.0016411806527561468,-0.0015722060859885475,0.003116649935519826,0.005299060314587045,0.002522963927649769,0.002660913061184966,0.004242342408437235
2020-05-05,0.0035876883064311915,0.007238615716728347,0.008318364681379364,0.00874664658717128,0.008533886747690067,0.0005883882416439778,0.004891116342367718,-0.0071293027099999995,0.0035876883064311915,0.0035876883064311915,0.0037180311100248444,0.0035876883064311915,0.0035876883064311915,0.0035876883064311915,0.0037180311100248444,0.004109059520805803,0.003809129514327081,0.0026070876090903087,0.005201890642402507,0.005048059270550053,0.0029046610672638154,0.0032697538082935313,0.00603893035979679,0.006273680297232853,0.007238615716728347,0.008318364681379364,0.006686779738587401,0.006328010907944282,0.007072299399911009,0.005422071418136498,0.005399843282039595,0.004197801376802824,0.00729019017967587,0.007521974191676973,0.004777315772239745,0.0075899875137302114,0.00827598962689844,0.008682818635326916,0.0068188814647694995,0.006003055630216769,0.001580441033750038,0.00874664658717128,0.007975540538210568,0.006343888869105107,0.004755630893184294
2020-05-06,-0.003654739283976638,-0.004590783605423199,-0.004791035553709078,-0.004829921613447641,-0.010803954725572384,-0.015228155160023293,-0.007323681790283532,-0.01783664091,-0.003654739283976638,-0.003654739283976638,-0.004021633534607327,-0.003654739283976638,-0.003654739283976638,-0.003654739283976638,-0.004021633534607327,-0.005122316286499395,-0.006279657874104061,-0.007330953786075707,-0.006166398167086052,-0.004029157012555263,-0.006865537337759934,-0.006959141769904591,-0.004950154378105953,-0.00467686455961992,-0.004590783605423199,-0.004791035553709078,-0.00507030554707748,-0.004704831618679816,-0.005721117887367256,-0.005773284604563195,-0.007020969853313375,-0.008072265765285021,-0.0055508294246814135,-0.007349341871968906,-0.00788781891518035,-0.0055780496664984075,-0.007468910875981127,-0.006622131547085064,-0.006076801701865586,-0.007116625056523152,-0.01107243268672615,-0.004829921613447641,-0.0053286736488148195,-0.0074083203581299505,-0.008471088827415678
